name,latitude,longitude,height
Mount Washington,44.270464,-71.303444,1916.5824
Mount Adams,44.320675,-71.291695,1767.5352
Mount Jefferson,44.304185,-71.31675,1741.0176
Mount Monroe,44.25505,-71.32142,1637.3856
Mount Madison,44.328843,-71.27682,1635.5568
Katahdin-Baxter Peak,45.904362,-68.921392,1605.6864
Mount Lafayette,44.16073,-71.644564,1597.152
Mount Lincoln,44.148832,-71.644677,1551.1272
South Twin,44.187702,-71.554604,1494.1296
Carter Dome,44.267352,-71.179195,1472.7936
Mount Moosilauke,44.024326,-71.830965,1463.6496
North Twin,44.202594,-71.558053,1451.1528
Mount Eisenhower,44.240526,-71.350307,1450.848
Katahdin-Hamlin Peak,45.924251,-68.927704,1449.6288
Mount Bond,44.153045,-71.531225,1431.9504
Mount Carrigain,44.093567,-71.446865,1426.464
Middle Carter Mountain,44.303054,-71.167757,1402.08
West Bond,44.154734,-71.543514,1377.696
Mount Garfield,44.187219,-71.610836,1365.504
Mount Liberty,44.115781,-71.642142,1359.1032
Wildcat Mountain,44.259231,-71.201739,1347.8256
South Carter Mountain,44.289823,-71.176483,1347.216
Mount Hancock,44.08337,-71.493429,1341.12
Mount Mansfield,44.543822,-72.814366,1338.9864
South Kinsman,44.122965,-71.736553,1328.3184
Mount Flume,44.108779,-71.627914,1319.1744
Mount Osceola,44.001614,-71.535615,1316.736
Mount Field,44.196195,-71.433428,1316.736
South Hancock,44.073219,-71.487149,1316.4312
Mount Pierce,44.226755,-71.365783,1313.688
North Kinsman,44.13337,-71.736915,1308.5064
Bondcliffs,44.140653,-71.540616,1299.972
Mount Willey,44.183428,-71.421129,1296.924
Sugarloaf Mountain,45.031808,-70.313247,1292.352
Zealand Mountain,44.17974,-71.521355,1292.352
Killington Peak,43.604717,-72.820177,1290.828
Crocker Mountain,45.047233,-70.382836,1288.0848
Old Speck,44.571083,-70.953719,1267.968
Mount Cabot,44.505984,-71.414423,1267.968
North Tripyramid,43.973254,-71.442878,1267.968
Mount Osceola-East Peak,44.006235,-71.520622,1266.7488
North Brother,45.957289,-68.985417,1265.2248
Bigelow-West Peak,45.146771,-70.288172,1263.396
Saddleback Mountain,44.936559,-70.504671,1255.776
Middle Tripyramid,43.964662,-71.440101,1255.776
Avery Peak,45.146699,-70.275378,1246.0224
Mount Ellen,44.159897,-72.928833,1244.4984
Camels Hump,44.319572,-72.886339,1243.584
Cannon Mountain,44.156776,-71.698626,1243.584
Wildcat D,44.249433,-71.223766,1238.0976
Mount Hale,44.221711,-71.512254,1235.6592
Mount Jackson,44.203202,-71.375523,1235.0496
Mount Tom,44.210563,-71.446184,1234.7448
Mount Moriah,44.340522,-71.131776,1234.1352
Mount Passaconaway,43.954734,-71.380821,1232.3064
Saddleback Mountain Horn,44.951405,-70.487172,1231.6968
Mount Abraham-Maine,44.972951,-70.326475,1231.392
South Crocker Mountain,45.036269,-70.376074,1231.392
Owls Head,44.144081,-71.605039,1226.82
Galehead Mountain,44.18502,-71.573501,1226.5152
Mount Waumbek,44.432661,-71.417564,1221.0288
Mount Abraham-Vermont,44.120426,-72.936238,1221.0288
Mount Tecumseh,43.966479,-71.556689,1220.1144
Mount Isolation,44.214706,-71.309318,1220.1144
Spaulding Mountain,45.003004,-70.333539,1219.2
Mount Whiteface,43.936643,-71.407716,1219.2
Mount Redington,45.025031,-70.388746,1219.2
South Brother,45.944134,-69.001809,1210.056
Snow Mountain-Maine Franklin,45.291513,-70.709301,1207.008
Sandwich Mountain,43.900524,-71.498151,1207.008
Pico Peak,43.639421,-72.836444,1206.0936
Stratton Mountain,43.086218,-72.925101,1200.912
The Bulge,44.514568,-71.408182,1200.912
Mount Nancy,44.122322,-71.404649,1196.6448
The Horn,44.517963,-71.400154,1190.244
Mount Weeks,44.461486,-71.381922,1189.0248
Mount Weeks-South Peak,44.442276,-71.388312,1184.148
Fort Mountain,45.962113,-68.974737,1178.6616
Vose Spur,44.102944,-71.434647,1177.1376
Goose Eye Mountain,44.50282,-70.999506,1176.528
Jay Peak,44.924147,-72.525707,1175.9184
White Cap Mountain,45.236135,-70.818152,1175.3088
Border Monuments 445-446 Peak,45.267089,-70.841222,1175.004
Equinox Mountain,43.165988,-73.117574,1170.432
East Sleeper,43.946684,-71.425497,1170.432
Mendon Peak,43.595186,-72.84633,1170.432
Bread Loaf Mountain,44.002113,-72.941362,1168.908
Nubble Peak,44.222888,-71.561533,1162.2024
Bigelow South Horn,45.145015,-70.323169,1159.764
Mount Coe,45.933822,-69.00917,1156.716
East Kennebago Mountain,45.121861,-70.599689,1155.4968
Big Jay,44.915184,-72.540676,1153.9728
Snow Mountain-Maine Oxford,45.16947,-70.826843,1153.3632
Baldpate Mountain,44.609287,-70.892316,1152.144
Mount Wilson,44.004778,-72.925501,1152.144
Kennebago Divide,45.222573,-70.815779,1150.62
Scar Ridge,44.02913,-71.595346,1150.3152
Elephant Mountain,44.768153,-70.781854,1149.7056
The Cannon Balls,44.149963,-71.710296,1148.7912
Dorset Mountain,43.309277,-73.028248,1146.048
Marcy,44.112857,-73.923784,1628.8512
Algonquin,44.143624,-73.986721,1558.7472
Haystack,44.105796,-73.900787,1511.808
Skylight,44.099543,-73.9312,1501.4448
Whiteface,44.365795,-73.903219,1483.4616
Dix,44.082417,-73.786588,1480.4136
Gray,44.111683,-73.93537,1475.232
Iroquois Peak,44.136881,-73.998263,1475.232
Basin,44.121392,-73.88656,1471.2696
Gothics,44.127528,-73.858031,1443.5328
Colden,44.126996,-73.960092,1436.8272
Giant,44.161243,-73.720261,1410.3096
Nippletop,44.089104,-73.816293,1408.176
Santanoni,44.082445,-74.131163,1404.2136
Redfield,44.094817,-73.950006,1403.9088
Wright Peak,44.151768,-73.979762,1395.984
Saddleback,44.126584,-73.875073,1376.172
Panther,44.098438,-74.132291,1353.9216
TableTop,44.140661,-73.916373,1349.3496
Rocky Peak,44.154363,-73.705445,1347.216
Macomb,44.05176,-73.780276,1342.644
Armstrong,44.134718,-73.849824,1341.12
Hough,44.069622,-73.777727,1341.12
Seward,44.159861,-74.19967,1329.2328
Marshall,44.127744,-74.01232,1328.928
Allen,44.071037,-73.939912,1322.832
Big Slide,44.182303,-73.870842,1292.352
Esther,44.387191,-73.889839,1292.352
Upper Wolf Jaw,44.140504,-73.845274,1275.588
Lower Wolf Jaw,44.148407,-73.832884,1272.54
Street,44.179393,-74.027066,1269.7968
Phelps,44.157024,-73.921508,1268.2728
Donaldson,44.154118,-74.211587,1261.872
Seymour,44.158107,-74.172565,1255.776
Sawteeth,44.1134,-73.850664,1249.68
Cascade,44.21855,-73.860169,1249.0704
South Dix,44.060073,-73.774443,1237.488
Porter,44.212416,-73.853665,1237.1832
Colvin,44.094202,-73.834472,1236.5736
Emmons,44.143807,-74.214392,1231.392
Dial,44.105941,-73.796421,1225.296
East Dix,44.06534,-73.757444,1222.8576
Blake Peak,44.081398,-73.844691,1207.008
Cliff,44.103354,-73.975278,1207.008
Nye,44.187291,-74.024109,1187.196
Couchsachraga,44.095561,-74.160136,1164.336
Macnaughton,44.139809,-74.064399,1219.2
Katahdin-Hamlin Peak,45.921167,-68.923333,1450
Bigelow-Avery Peak,45.146699,-70.275378,1246